Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","1uF","C_0402_1005Metric",25.196000,-12.182000,-90.000000,	Top
"C2","1uF","C_0402_1005Metric",27.990000,-10.150000,180.000000,Top
"C3","100nF","C_0402_1005Metric",24.815000,-62.220000,0.000000,Top
"C4","100nF","C_0402_1005Metric",24.815000,-29.835000,180.000000,Top
"C5","100nF","C_0402_1005Metric",7.670000,-45.075000,-90.000000,Top
"C6","100nF","C_0402_1005Metric",7.670000,-14.595000,-90.000000,Top
"C7","8pF","C_0402_1005Metric",13.385000,-67.935000,-90.000000,Top
"C8","8pF","C_0402_1005Metric",13.385000,-37.455000,-90.000000,Top
"C9","8pF","C_0402_1005Metric",17.195000,-64.760000,-90.000000,Top
"C10","8pF","C_0402_1005Metric",17.195000,-33.645000,-90.000000,Top
"C11","100nF","C_0402_1005Metric",19.735000,-64.760000,90.000000,Top
"C12","100nF","C_0402_1005Metric",19.735000,-33.645000,90.000000,Top
"C13","1uF","C_0402_1005Metric",22.275000,-50.790000,-90.000000,Top
"C14","1uF","C_0402_1005Metric",22.275000,-20.310000,-90.000000,Top
"C15","1uF","C_0402_1005Metric",23.545000,-50.790000,-90.000000,Top
"C16","1uF","C_0402_1005Metric",23.545000,-20.310000,-90.000000,Top
"C17","100nF","C_0402_1005Metric",13.385000,-27.930000,180.000000,Top
"C18","100nF","C_0402_1005Metric",24.434000,-23.866000,180.000000,Top
"C19","100nF","C_0402_1005Metric",24.815000,-50.790000,90.000000,Top
"C20","100nF","C_0402_1005Metric",18.465000,-20.310000,90.000000,Top
"C21","100nF","C_0402_1005Metric",24.815000,-28.565000,180.000000,Top
"C22","100nF","C_0402_1005Metric",18.465000,-50.790000,-90.000000,Top
"C23","100nF","C_0402_1005Metric",13.385000,-54.600000,180.000000,Top
"C24","100nF","C_0402_1005Metric",24.815000,-20.310000,90.000000,Top
"C25","100nF","C_0402_1005Metric",18.465000,-64.760000,90.000000,Top
"C26","100nF","C_0402_1005Metric",24.815000,-59.680000,180.000000,Top
"C27","100nF","C_0402_1005Metric",13.385000,-58.410000,0.000000,Top
"C28","100nF","C_0402_1005Metric",24.434000,-54.346000,0.000000,Top
"C29","100nF","C_0402_1005Metric",18.465000,-33.645000,90.000000,Top
"C30","100nF","C_0402_1005Metric",13.385000,-24.120000,0.000000,Top
"D1","LED","LED_0603_1608Metric",26.085000,-2.530000,90.000000,Top
"D2","LED","LED_0603_1608Metric",27.990000,-2.530000,90.000000,Top
"D3","LED","LED_0603_1608Metric",29.895000,-2.530000,90.000000,Top
"D4","LED","LED_0603_1608Metric",8.305000,-2.530000,90.000000,Top
"D5","LED","LED_0603_1608Metric",10.210000,-2.530000,90.000000,Top
"D6","LED","LED_0603_1608Metric",12.115000,-2.530000,90.000000,Top
