Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","1uF","C_0402_1005Metric",15.182000,-18.954000,0.000000,Top
"C2","1uF","C_0402_1005Metric",13.150000,-16.160000,-90.000000,Top
"C3","100nF","C_0402_1005Metric",65.220000,-19.335000,90.000000,Top
"C4","100nF","C_0402_1005Metric",32.835000,-19.335000,-90.000000,Top
"C5","100nF","C_0402_1005Metric",48.075000,-36.480000,0.000000,Top
"C6","100nF","C_0402_1005Metric",17.595000,-36.480000,0.000000,Top
"C7","8pF","C_0402_1005Metric",70.935000,-30.765000,0.000000,Top
"C8","8pF","C_0402_1005Metric",40.455000,-30.765000,0.000000,Top
"C9","8pF","C_0402_1005Metric",67.760000,-26.955000,0.000000,Top
"C10","8pF","C_0402_1005Metric",36.645000,-26.955000,0.000000,Top
"C11","100nF","C_0402_1005Metric",67.760000,-24.415000,180.000000,Top
"C12","100nF","C_0402_1005Metric",36.645000,-24.415000,180.000000,Top
"C13","1uF","C_0402_1005Metric",53.790000,-21.875000,0.000000,Top
"C14","1uF","C_0402_1005Metric",23.310000,-21.875000,0.000000,Top
"C15","1uF","C_0402_1005Metric",53.790000,-20.605000,0.000000,Top
"C16","1uF","C_0402_1005Metric",23.310000,-20.605000,0.000000,Top
"C17","100nF","C_0402_1005Metric",30.930000,-30.765000,-90.000000,Top
"C18","100nF","C_0402_1005Metric",26.866000,-19.716000,-90.000000,Top
"C19","100nF","C_0402_1005Metric",53.790000,-19.335000,180.000000,Top
"C20","100nF","C_0402_1005Metric",23.310000,-25.685000,180.000000,Top
"C21","100nF","C_0402_1005Metric",31.565000,-19.335000,-90.000000,Top
"C22","100nF","C_0402_1005Metric",53.790000,-25.685000,0.000000,Top
"C23","100nF","C_0402_1005Metric",57.600000,-30.765000,-90.000000,Top
"C24","100nF","C_0402_1005Metric",23.310000,-19.335000,180.000000,Top
"C25","100nF","C_0402_1005Metric",67.760000,-25.685000,180.000000,Top
"C26","100nF","C_0402_1005Metric",62.680000,-19.335000,-90.000000,Top
"C27","100nF","C_0402_1005Metric",61.410000,-30.765000,90.000000,Top
"C28","100nF","C_0402_1005Metric",57.346000,-19.716000,90.000000,Top
"C29","100nF","C_0402_1005Metric",36.645000,-25.685000,180.000000,Top
"C30","100nF","C_0402_1005Metric",27.120000,-30.765000,90.000000,Top
"D4","LED","LED_0603_1608Metric",5.530000,-35.845000,180.000000,Top
"D5","LED","LED_0603_1608Metric",5.530000,-33.940000,180.000000,Top
"D6","LED","LED_0603_1608Metric",5.530000,-32.035000,180.000000,Top
"D7","LED","LED_0603_1608Metric",78.900000,-93.500000,-90.000000,Top
"D8","LED","LED_0603_1608Metric",29.500000,-90.300000,-90.000000,Top
"D9","LED","LED_0603_1608Metric",34.900000,-71.900000,-90.000000,Top
"D10","LED","LED_0603_1608Metric",28.500000,-56.200000,-90.000000,Top
"D11","LED","LED_0603_1608Metric",52.500000,-13.000000,-90.000000,Top
"D12","LED","LED_0603_1608Metric",24.580000,-12.350000,-90.000000,Top
"D13","LED","LED_0603_1608Metric",22.675000,-12.350000,-90.000000,Top
"D14","LED","LED_0603_1608Metric",20.770000,-12.350000,-90.000000,Top
"D15","LED","LED_0603_1608Metric",18.865000,-12.350000,-90.000000,Top
"D16","LED","LED_0603_1608Metric",16.960000,-12.350000,-90.000000,Top
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",6.400000,-25.100000,-90.000000,Top
"R1","5.1k","R_0402_1005Metric",13.785000,-22.510000,-90.000000,Top
"R2","5.1k","R_0402_1005Metric",13.785000,-27.590000,-90.000000,Top
"R3","27R","R_0402_1005Metric",23.310000,-23.145000,180.000000,Top
"R4","27R","R_0402_1005Metric",23.310000,-24.415000,180.000000,Top
"R7","10k","R_0402_1005Metric",63.950000,-19.335000,90.000000,Top
"R8","10k","R_0402_1005Metric",34.105000,-19.335000,-90.000000,Top
"R10","1k","R_0402_1005Metric",24.580000,-37.115000,90.000000,Top
"R11","10k","R_0402_1005Metric",53.790000,-37.115000,90.000000,Top
"R12","10k","R_0402_1005Metric",23.310000,-37.115000,90.000000,Top
"R13","1k","R_0402_1005Metric",68.395000,-28.860000,90.000000,Top
"R14","1k","R_0402_1005Metric",37.280000,-28.860000,90.000000,Top
"R18","1k","R_0402_1005Metric",8.070000,-35.845000,180.000000,Top
"R19","1k","R_0402_1005Metric",8.070000,-33.940000,180.000000,Top
"R20","1k","R_0402_1005Metric",8.070000,-32.035000,180.000000,Top
"R21","1k","R_0402_1005Metric",61.600000,-16.300000,-90.000000,Top
"R22","1k","R_0402_1005Metric",60.600000,-16.300000,-90.000000,Top
"R23","1k","R_0402_1005Metric",59.600000,-16.300000,-90.000000,Top
"R24","1k","R_0402_1005Metric",58.600000,-16.300000,-90.000000,Top
"R25","1k","R_0402_1005Metric",57.600000,-16.300000,-90.000000,Top
"R26","1k","R_0402_1005Metric",24.580000,-9.810000,-90.000000,Top
"R27","1k","R_0402_1005Metric",22.675000,-9.810000,-90.000000,Top
"R28","1k","R_0402_1005Metric",20.770000,-9.810000,-90.000000,Top
"R29","1k","R_0402_1005Metric",18.865000,-9.810000,-90.000000,Top
"R30","1k","R_0402_1005Metric",16.960000,-9.810000,-90.000000,Top
"SW2","SW_Push","SW_SPST_TL3305A",31.000000,-12.150000,180.000000,Top
"SW4","SW_Push","SW_SPST_TL3305A",30.930000,-38.385000,180.000000,Top
"U1","TLV70233_SOT23-5","SOT-23-5",15.690000,-16.160000,90.000000,Top
"U2","W25Q32JV","SOIC-8_5.23x5.23mm_P1.27mm",51.250000,-32.670000,180.000000,Top
"U3","W25Q32JV","SOIC-8_5.23x5.23mm_P1.27mm",20.770000,-32.670000,180.000000,Top
"U4","RP2040","RP2040-QFN-56",60.775000,-25.050000,90.000000,Top
"U5","RP2040","RP2040-QFN-56",30.295000,-25.050000,90.000000,Top
"Y1","Crystal_GND24","Crystal_SMD_3225-4Pin_3.2x2.5mm",71.570000,-28.225000,0.000000,Top
"Y2","Crystal_GND24","Crystal_SMD_3225-4Pin_3.2x2.5mm",40.455000,-28.225000,0.000000,Top
