Comment,Designator,Footprint,LCSC,Quantity,,
LED,"D4,D7,D13,D10,D12,D5,D9,D8,D15,D6,D11,D14,D16",LED_0603_1608Metric,C2290,13,,
5.1k,"R2,R1",R_0402_1005Metric,C25905,2,,
10k,"R8,R11,R12,R7",R_0402_1005Metric,C25744,4,,
1uF,"C14,C16,C1,C13,C15,C2",C_0402_1005Metric,C52923,6,,
100nF,"C4,C12,C20,C3,C5,C11,C19,C28,C18,C22,C26,C21,C25,C6,C24,C17,C27,C23,C29,C30",C_0402_1005Metric,C1525,20,,
8pF,"C8,C9,C7,C10",C_0402_1005Metric,C26408,4,,
1k,"R22,R23,R26,R21,R30,R27,R25,R10,R19,R24,R13,R28,R14,R20,R29,R18",R_0402_1005Metric,C11702,16,,
27R,"R4,R3",R_0402_1005Metric,C25100,2,,
SW_Push,"SW4,SW2",SW_SPST_TL3305A,C92581,2,,
W25Q32JV,"U3,U2",SOIC-8_5.23x5.23mm_P1.27mm,C82344,2,,
RP2040,"U5,U4",RP2040-QFN-56,C2040,2,,
Crystal_GND24,"Y1,Y2",Crystal_SMD_3225-4Pin_3.2x2.5mm,C279584,2,,
TLV70233_SOT23-5,U1,SOT-23-5,C51282,1,,
USB_C_Receptacle_USB2.0,J1,Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12,C167321,1,,
